ID,NIT,RAZON SOCIAL,SUPERVISOR,REGIÓN,DEPARTAMENTO_DOMICILIO,CIUDAD_DOMICILIO,MACROSECTOR,INGRESOS_OPERACIONALES_2018,GANANCIA_PERDIDA_2018,TOTAL_ACTIVOS_2018,TOTAL_PASIVOS_2018,TOTAL_PATRIMONIO_2018,INGRESOS_OPERACIONALES_2017,GANANCIA_PERDIDA_2017,TOTAL_ACTIVOS_2017,TOTAL_PASIVOS_2017,TOTAL_PATRIMONIO_2017,GRUPO_EN_NIIF
1,899.999.068,ECOPETROL S.A,SUPERFINANCIERA,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,MINERO-HIDROCARBUROS,62579849000,11556405000,1,14E+11,56548216000,57213607000,49687082000,6620412000,1,08E+11,59650395000,47898631000,NIIF PLENAS-GRUPO 1
2,830.095.213,ORGANIZACIÓN TERPEL S.A.,SUPERFINANCIERA,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,COMERCIO,14879440281,133741350,5488095686,3525498461,1962597225,12493256560,195281207,3863475148,2186212118,1677263030,NIIF PLENAS-GRUPO 1
3,900.112.515,REFINERIA DE CARTAGENA S.A.S.,SUPERSOCIEDADES,Costa Atlántica,BOLIVAR,CARTAGENA-BOLIVAR,MANUFACTURA,12919431000,-802449716,27881794581,9121543502,18760251079,9150339475,48094664,26779627629,8612363110,18167264519,NIIF PLENAS-GRUPO 1
4,890.900.608,ALMACENES EXITO S A,SUPERFINANCIERA,Antioquia,ANTIOQUIA,ENVIGADO-ANTIOQUIA,COMERCIO,11444486000,279403000,15663349000,8013609000,7649740000,11250922000,217713000,15962702000,8123134000,7839568000,NIIF PLENAS-GRUPO 1
5,890.904.996,EMPRESAS PÚBLICAS DE MEDELLÍN ESP,SUPERSERVICIOS,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,SERVICIOS,8966811000,2344822000,45595544000,22990219000,22605325000,7927149000,2188189000,39580960000,18082979000,21497981000,NIIF PLENAS-GRUPO 1
6,890.100.577,AEROVIAS DEL CONTINENTE AMERICANO S.A. - AVIANCA S.A.,SUPERFINANCIERA,Costa Atlántica,ATLANTICO,BARRANQUILLA-ATLANTICO,SERVICIOS,8747168806,268776958,17041050558,15112916822,1928133736,7702201203,49053417,14325211160,12682959730,1642251430,NIIF PLENAS-GRUPO 1
7,800.153.993,COMUNICACIÓN CELULAR S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,SERVICIOS,8665791456,1042348556,14995953079,8965121564,6030831515,8438045879,-1070240411,12849498120,8044303638,4805194482,NIIF PLENAS-GRUPO 1
8,900.156.264,NUEVA EPS S.A.,SUPERSALUD,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,SERVICIOS,7014036645.61,79606005.49,3520168342.59,3258089409.69,262078932.90,5948906066.85,-93419634.60,2810740723.68,2650298149.28,160442574.41,NIIF PYMES-GRUPO 2
9,900.531.210,Cenit Transporte y Logística de Hidrocarburos S.A.S.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,SERVICIOS,6715702915,3575752687,16664862257,1776964635,14887897622,5780339354,2986273830,15514533239,1441865091,14072668148,NIIF PLENAS-GRUPO 1
10,890.107.487,SUPERTIENDAS Y DROGUERIAS OLIMPICA S.A,SUPERSOCIEDADES,Costa Atlántica,ATLANTICO,BARRANQUILLA-ATLANTICO,COMERCIO,6158207111,82594694,3992450101,2646443658,1346006443,5817994063,122963097,3809263758,2416481673,1392782085,NIIF PLENAS-GRUPO 1
11,800.021.308,DRUMMOND LTD,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,MINERO-HIDROCARBUROS,6073369367,290939104,8333006622,2790031022,5542975600,5561593850,68011719,7931239677,2680487953,5250751724,NIIF PLENAS-GRUPO 1
12,860.005.224,Bavaria S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,MANUFACTURA,5947893316,2445403377,9440577820,5849861026,3590716794,5960451573,1843451021,9746982288,3583837302,6163144986,NIIF PLENAS-GRUPO 1
13,860.002.554,PRIMAX COLOMBIA S.A,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,COMERCIO,5906508047,126069745,1384963175,1009942475,375020700,5462496766,26120910,1172264515,919871559,252392956,NIIF PLENAS-GRUPO 1
14,890.900.943,Colombiana de comercio S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,COMERCIO,5773518009,190841884,3166454185,1456830276,1709623909,5177286721,143889015,2950818654,1302889809,1647928845,NIIF PLENAS-GRUPO 1
15,860.069.804,CARBONES DEL CERREJON LIMITED,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,MINERO-HIDROCARBUROS,5225686577,968597017,6957642897,2900075201,4057567696,5033674872,1068701203,6653270260,2927218970,3726051290,NIIF PLENAS-GRUPO 1
16,830.037.248,CODENSA S.A. E.S.P.,SUPERSERVICIOS,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,SERVICIOS,5059808668,608640849,6824665149,4056827795,2767837354,4541571778,623485951,6184185749,3535367044,2648818705,NIIF PLENAS-GRUPO 1
17,900.818.921,KOPPS COMMERCIAL S A S,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,COMERCIO,4680238004,194345714,2808783241,2511406497,297376744,95576064,30386116,122757992,19726962,103031030,NIIF PYMES-GRUPO 2
18,900.585.067,C.I. TRAFIGURA PETROLEUM COLOMBIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,COMERCIO,4624910164,3827980,467607695,449930622,17677073,2382184106,719330,494773997,482406219,12367778,NIIF PYMES-GRUPO 2
19,901.097.473,MEDIMAS EPS SAS,SUPERSALUD,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,SERVICIOS,4252498787.92,-699359291.31,1875886052.46,2037168794.75,-161282742.29,1738396946.34,38144067.85,2253046485.57,2196231536.55,56814949.02,NIIF PYMES-GRUPO 2
20,800.251.163,OLEODUCTO CENTRAL SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,SERVICIOS,4149457304,1988938305,6550709498,2677087505,3873621993,4062729821,1763668340,5424875246,2044297857,3380577389,NIIF PLENAS-GRUPO 1
21,800.088.702,EPS SURA,SUPERSALUD,Antioquia,ANTIOQUIA,MEDELLIN,SERVICIOS,3939304579.97,59486352.63,931602834.75,671199311.42,260403523.33,3262781735.08,40823915.19,721512723.71,523867610.89,197645112.82,NIIF PLENAS-GRUPO 1
22,900.276.962,KOBA COLOMBIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,CUNDINAMARCA,TOCANCIPA-CUNDINAMARCA,COMERCIO,3811484857,-25111595,722379883,799380037,-77000154,3124608046,-69265664,648223159,700056139,-51832980,NIIF PLENAS-GRUPO 1
23,900.155.107,Cencosud Colombia S.A,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,COMERCIO,3772463923,-109706088,6256674395,1747187356,4509487039,3839177352,-52822867,6272267825,1653074698,4619193127,NIIF PLENAS-GRUPO 1
24,830.053.800,TELMEX COLOMBIA S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,COMERCIO,3753099408,360902243,5593999692,1227746170,4366253522,3421914122,314450641,4981734070,1155679587,3826054483,NIIF PLENAS-GRUPO 1
25,860.063.875,EMGESA S.A. E.S.P.,SUPERSERVICIOS,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,SERVICIOS,3718448908,1020338048,9249963440,5010715434,4239248006,3425080901,887055685,9028370393,5180084093,3848286300,NIIF PLENAS-GRUPO 1
26,800.242.106,SODIMAC COLOMBIA SA,SUPERFINANCIERA,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,COMERCIO,3622711680,177837043,2493870730,1301606012,1192264718,3457047231,174246833,2283095225,1115436850,1167658375,NIIF PLENAS-GRUPO 1
27,900.268.747,PAREX RESOURCES COLOMBIA LTD. Sucursal,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,MINERO-HIDROCARBUROS,3612873299,1766691281,4235538350,1528181149,2707357201,1591411711,301333300,1834349240,597488013,1236861227,NIIF PLENAS-GRUPO 1
28,860.005.223,CHEVRON PETROLEUM COMPANY,SUPERFINANCIERA,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,COMERCIO,3596391000,144536000,1299100000,1102361000,196739000,3297938000,156011000,1260108000,1107002000,153106000,NIIF PLENAS-GRUPO 1
29,830.126.302,FRONTERA ENERGY COLOMBIA CORP.  SUCURSAL COLOMBIA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,MINERO-HIDROCARBUROS,3489742062,22250091,4570445536,2288225796,2282219740,3481533124,-491684486,4751646259,1901660142,2849986117,NIIF PLENAS-GRUPO 1
30,860.041.312,C.I. PRODECO S.A.,SUPERSOCIEDADES,Costa Atlántica,ATLANTICO,BARRANQUILLA-ATLANTICO,MINERO-HIDROCARBUROS,3434029699,-81603010,4089093226,2624299292,1464793934,3689025228,236154199,3647635183,2203531884,1444103299,NIIF PLENAS-GRUPO 1
31,800.251.440,E.P.S. SANITAS S.A.,SUPERSALUD,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,SERVICIOS,3390854376.36,31261431.03,1245879311.06,1031761504.28,214117806.78,2683848828.56,-33000478.10,889561444.32,738703361.64,150858082.68,NIIF PLENAS-GRUPO 1
32,800.216.181,GRUPO AVAL ACCIONES Y VALORES S A,SUPERFINANCIERA,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,COMERCIO,3150418000,2887749000,20282237000,2060596000,18221641000,2274822000,2001178000,18933486000,2094993000,16838493000,NIIF PLENAS-GRUPO 1
33,900.061.554,GESTORA ADMINEGOCIOS Y CIA S EN C,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,SERVICIOS,3075885901,3041816259,6052109005,2330238419,3721870586,268942108,268917898,7882066066,99673,7881966393,NIIF PLENAS-GRUPO 1
34,805.000.427,COOMEVA EPS SA,SUPERSALUD,Costa Pacífica,VALLE,CALI-VALLE,SERVICIOS,2984184412.97,8471593.90,1645342128.71,2078876384.73,-433534256.02,3295650390.15,-797799744.79,1540804170.88,2036473923.73,-495669752.85,NIIF PLENAS-GRUPO 1
35,800.130.907,SALUD TOTAL S.A. EPS,SUPERSALUD,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,SERVICIOS,2723900586.85,50670242.12,1066935325.84,867828025.02,199107300.82,2264357157.16,85798836.85,830456122.29,665822026.32,164634095.97,NIIF PYMES-GRUPO 2
36,811.000.740,ISAGEN SA ESP,SUPERSERVICIOS,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,SERVICIOS,2675910000,454169000,18989502000,13077940000,5911562000,2366515000,353007000,19244256000,13758985000,5485271000,NIIF PLENAS-GRUPO 1
37,860.025.792,SOCIEDAD DE FABRICACION DE AUTOMOTORES SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,ENVIGADO-ANTIOQUIA,MANUFACTURA,2655492403,58278332,821243192,639116279,182126913,2714932282,121217294,743804794,561757402,182047392,NIIF PLENAS-GRUPO 1
38,830.028.931,Samsung Electronics Colombia S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,COMERCIO,2636602189,13326552,1345500621,1198714770,146785851,2768734004,17059308,1172010423,1038551124,133459299,NIIF PLENAS-GRUPO 1
39,830.078.038,CERREJON ZONA NORTE S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,MINERO-HIDROCARBUROS,2598663471,512853825,4220730380,1597679334,2623051046,2530965808,483783692,3548641185,1239841596,2308799589,NIIF PLENAS-GRUPO 1
40,860.002.304,General Motors Colmotores S.A,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,MANUFACTURA,2585957735,81748976,1264482872,861453540,403029332,2243125518,-77924454,1061522462,721763980,339758482,NIIF PLENAS-GRUPO 1
41,900.092.385,UNE EPM TELECOMUNICACIONES S.A.,SUPERSERVICIOS,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,SERVICIOS,2540501000,-31177000,5173640000,3281999000,1891641000,2512048000,-10554000,5270456000,3252516000,2017940000,NIIF PLENAS-GRUPO 1
42,860.066.942,COMPENSAR,SUPERSALUD,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,SERVICIOS,2521778649.24,23680434.68,1173799210.91,603872914.31,569926296.60,2160017315.31,201462884.34,905732626.10,479034100.94,426698525.16,NIIF PLENAS-GRUPO 1
43,830.136.799,BIOCOMBUSTIBLES S.A. - BIOMAX,SUPERFINANCIERA,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,COMERCIO,2407436665,67875223,709655278,431234930,278420348,2265623033,46224035,681412409,415758666,265653743,NIIF PLENAS-GRUPO 1
44,830.003.564,FAMISANAR LTDA. CAFAM - COLSUBSIDIO E.P.S.,SUPERSALUD,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,SERVICIOS,2345554517.16,-12095094.97,877388656.75,981581889.17,-104193232.41,1981357025.48,-160748920.15,762465893.19,763193813.35,-727920.15,NIIF PYMES-GRUPO 2
45,800.007.813,GAS NATURAL S.A. E.S.P.,SUPERSERVICIOS,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,SERVICIOS,2333251895,228080145,1283759876,749322087,534437789,2348560584,235780781,1311674412,764004639,547669773,NIIF PLENAS-GRUPO 1
46,800.059.470,POLIPROPILENO DEL CARIBE S.A.,SUPERSOCIEDADES,Costa Atlántica,BOLIVAR,CARTAGENA-BOLIVAR,MANUFACTURA,2329130306,158323546,2023509798,406658414,1616851384,2003246804,160536152,1926012012,405866107,1520145905,NIIF PLENAS-GRUPO 1
47,900.480.569,JERONIM MARTINS COLOMBIA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,COMERCIO,2259151269,-384600460,1646322370,1578292386,68029984,1438883069,-346370368,1273103474,1089548827,183554647,NIIF PLENAS-GRUPO 1
48,830.114.921,Colombia Movil S.A. E.S.P.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,SERVICIOS,2151530485,-22483321,2284808224,2011997027,272811197,2172613892,88619500,2339400225,2004123233,335276992,NIIF PLENAS-GRUPO 1
49,860.016.610,INTERCONEXION ELECTRICA S.A. E.S.P. (ISA),SUPERSERVICIOS,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,SERVICIOS,2041138000,1529155000,18104123000,6210883000,11893240000,2021582000,1442708000,16726509000,5750381000,10976128000,NIIF PLENAS-GRUPO 1
50,900.473.830,GUNVOR COLOMBIA CI SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,COMERCIO,2039635076,2886353,164354785,160614564,3740221,1282631784,453238,244135123,243155774,979349,NIIF PYMES-GRUPO 2
51,816.001.182,AUDIFARMA SA,SUPERSOCIEDADES,Eje Cafetero,RISARALDA,PEREIRA-RISARALDA,COMERCIO,2038983194,11522593,1449498022,1209012689,240485333,1711203184,55311352,1147026094,918672812,228353282,NIIF PLENAS-GRUPO 1
52,899.999.082,GRUPO ENERGIA BOGOTA S.A. E.S.P.,SUPERSERVICIOS,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,SERVICIOS,2033704000,1703693000,17037219000,4480769000,12556450000,1854310000,1500121000,15921655000,4341187000,11580468000,NIIF PLENAS-GRUPO 1
53,890.100.251,CEMENTOS ARGOS S.A,SUPERFINANCIERA,Costa Atlántica,ATLANTICO,BARRANQUILLA-ATLANTICO,MANUFACTURA,1986339000,178506000,13799209000,5341070000,8458139000,1714044000,-10807000,13373883000,5036635000,8337248000,NIIF PLENAS-GRUPO 1
54,860.074.450,QUALA SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,MANUFACTURA,1892268732,634613734,1071323989,304499050,766824939,2394212166,639475402,1521837930,328755544,1193082386,NIIF PLENAS-GRUPO 1
55,900.017.447,FALABELLA DE COLOMBIA S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,COMERCIO,1882300829,15200709,1038433329,670638736,367794593,1649847477,-21422374,1095382815,802826863,292555952,NIIF PLENAS-GRUPO 1
56,811.009.788,DISTRACOM S.A.,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,COMERCIO,1851017938,38095368,947251651,390395319,556856332,1646737079,28261373,798999187,361047799,437951388,NIIF PLENAS-GRUPO 1
57,814.000.337,EMSSANAR ESS,SUPERSALUD,Costa Pacífica,NARIÑO,PASTO,SERVICIOS,1804994430.50,-71361122.45,429134710.03,850121358.68,-420986648.65,1687585895.29,-365211593.42,402172960.83,751829154.43,-349656193.60,NIIF PYMES-GRUPO 2
58,860.025.900,ALPINA PRODUCTOS ALIMENTICIOS S A,SUPERFINANCIERA,Bogotá - Cundinamarca,CUNDINAMARCA,SOPO-CUNDINAMARCA,MANUFACTURA,1797323048,85630850,1078945269,914535713,164409556,1795762249,81155678,1019465407,874681603,144783804,NIIF PLENAS-GRUPO 1
59,890.903.939,POSTOBON SA,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,MANUFACTURA,1750382430,67190567,3410220662,1318000273,2092220389,1625015692,78659465,3167796647,1141951978,2025844669,NIIF PLENAS-GRUPO 1
60,900.226.715,COOSALUD S.A,SUPERSALUD,Costa Atlántica,BOLIVAR,CARTAGENA-BOLIVAR,SERVICIOS,1745962935.57,2637683.12,697942017.55,629705236.67,68236780.88,251938023.40,2235499.07,366019129.99,331480606.63,34538523.36,NIIF PYMES-GRUPO 2
61,860.516.431,GRAN TIERRA ENERGY COLOMBIA LTD,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,MINERO-HIDROCARBUROS,1745876000,186825000,3493114000,661254000,2831860000,1179439000,158172000,3114754000,492263000,2622491000,NIIF PLENAS-GRUPO 1
62,890.901.271,CONTEGRAL S.A.S,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,ENVIGADO-ANTIOQUIA,MANUFACTURA,1740281490,77553970,1178258473,607134957,571123516,1667811116,84458105,1081514094,570461122,511052972,NIIF PLENAS-GRUPO 1
63,890.304.130,ALIMENTOS CARNICOS S.A.S.,SUPERSOCIEDADES,Costa Pacífica,VALLE,YUMBO-VALLE,MANUFACTURA,1730630662,97518798,2011819721,1042911357,968908364,1700467733,67356508,1984269961,1088886682,895383279,NIIF PLENAS-GRUPO 1
64,800.246.860,EMPRESA DE ENERGIA DEL PACIFICO S.A. E.S.P.,SUPERSERVICIOS,Costa Pacífica,VALLE,YUMBO-VALLE,SERVICIOS,1728898000,316594000,6120084000,3043749000,3076335000,1601862000,209791000,4914137000,1982789000,2931348000,NIIF PLENAS-GRUPO 1
65,800.149.695,DROGUERIAS Y FARMACIAS CRUZ VERDE SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,COMERCIO,1696871205,38694540,850716785,623002638,227714147,1425479496,27283958,702330466,512717640,189612826,NIIF PLENAS-GRUPO 1
66,900.331.322,VERANO ENERGY (BARBADOS) LIMITED SUCURSAL,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,MINERO-HIDROCARBUROS,1670932242,515536530,4077215192,3366752773,710462419,471406424,304402554,218756967,85946477,132810490,NIIF PLENAS-GRUPO 1
67,860.004.864,OCCIDENTAL ANDINA  LLC,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,MINERO-HIDROCARBUROS,1662646597,480249810,4343852223,1288932990,3054919233,1591207292,489774040,3737389144,1262691441,2474697703,NIIF PLENAS-GRUPO 1
68,900.882.422,Mercaderia SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,CUNDINAMARCA,CHIA-CUNDINAMARCA,COMERCIO,1648073135,-215778445,446010649,597543383,-151532734,772445826,-163960626,298129948,322831537,-24701589,NIIF PLENAS-GRUPO 1
69,860.002.523,CEMEX COLOMBIA S.A.,SUPERFINANCIERA,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,MANUFACTURA,1637958724,96479839,3906560675,1508061737,2398498938,1705926720,33039480,3809343614,1536461330,2272882284,NIIF PLENAS-GRUPO 1
70,860.069.378,Cerro Matoso S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,MINERO-HIDROCARBUROS,1610892208,203021315,2221297988,940027872,1281270116,1257121334,203048722,2311504467,811935351,1499569116,NIIF PLENAS-GRUPO 1
71,830.113.598,ADMINEGOCIOS SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,SERVICIOS,1602925112,1143502164,7965328683,2970166054,4995162629,1129292807,895924063,7337786580,509879454,6827907126,NIIF PLENAS-GRUPO 1
72,900.604.350,SAVIA SALUD EPS,SUPERSALUD,Antioquia,ANTIOQUIA,MEDELLIN,SERVICIOS,1598418461.33,-38523516.17,330978430.81,1041741298.57,-710762867.77,1444415524.85,-395000106.14,311670526.57,983909878.17,-672239351.60,REGIMEN R 414 de 2014 - CGN
73,890.300.466,TECNOQUIMICAS S.A.,SUPERSOCIEDADES,Costa Pacífica,VALLE,CALI-VALLE,COMERCIO,1595121803,198911761,1985984451,755052175,1230932276,1491947765,152046716,1701063487,603598436,1097465051,NIIF PLENAS-GRUPO 1
74,890.903.858,INDUSTRIA NACIONAL DE GASEOSAS S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,MANUFACTURA,1579668932,-107684363,1954039927,931705669,1022334258,1611009220,-180792744,1907921677,1146177261,761744416,NIIF PLENAS-GRUPO 1
75,860.078.828,COLSANITAS MEDICINA PREPAGADA SA,SUPERSALUD,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,SERVICIOS,1579236925.75,196237866.11,823440325.51,498608959.15,324831366.37,1351629972.61,117864929.25,663977724.04,362979868.46,300997855.58,NIIF PLENAS-GRUPO 1
76,900.780.510,AUTOMOTORES TOYOTA COLOMBIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,COMERCIO,1560110009,93592401,322815419,199433421,123381998,1144461059,67689597,264502757,154148831,110353926,NIIF PLENAS-GRUPO 1
77,890.301.884,COLOMBINA S A,SUPERFINANCIERA,Costa Pacífica,VALLE,ZARZAL - VALLE DEL CAUCA,MANUFACTURA,1559202000,127610000,1516027000,1082537000,433490000,1508517000,33213000,1344264000,1006939000,337325000,NIIF PLENAS-GRUPO 1
78,860.002.130,NESTLE DE COLOMBIA S.A,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,MANUFACTURA,1511982000,123310000,915967000,753518000,162449000,1533248000,110896000,896588000,742905000,153683000,NIIF PLENAS-GRUPO 1
79,860.002.426,EQUION ENERGIA LIMITED,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,MINERO-HIDROCARBUROS,1502004024,375890373,1114419784,675086728,439333056,1191655875,240995258,1280473359,1043457726,237015633,NIIF PLENAS-GRUPO 1
80,804.002.105,COMPARTA,SUPERSALUD,Centro - Oriente,SANTANDER,BUCARAMANGA-SANTANDER,SERVICIOS,1476113996.13,48157790.75,371218585.27,301439332.93,69779252.35,1400899099.61,-19111222.21,248531183.86,227030463.18,21500720.68,NIIF PYMES-GRUPO 2
81,900.493.698,GEOPARK COLOMBIA S.A.S.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,MINERO-HIDROCARBUROS,1471116175,576522405,1514251026,550558013,963693013,771241601,199586991,856752517,419686658,437065859,NIIF PLENAS-GRUPO 1
82,899.999.115,EMPRESA DE TELECOMUNICACIONES DE BTA SA ESP,SUPERSERVICIOS,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,SERVICIOS,1466110544,736917,3972582561,2073669414,1898913147,1458716439,-149978232,4115070525,2257847756,1857222769,NIIF PLENAS-GRUPO 1
83,860.072.134,HOCOL S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,MINERO-HIDROCARBUROS,1430128312,217122982,2336468064,886880793,1449587271,1183554218,-62434645,2278908076,805042349,1473865727,NIIF PLENAS-GRUPO 1
84,890.900.266,GRUPO ARGOS S.A.,SUPERFINANCIERA,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,MANUFACTURA,1422372000,811676000,17946404000,1970468000,15975936000,1196182000,452841000,17523550000,1978407000,15545143000,NIIF PLENAS-GRUPO 1
85,860.001.307,DISTRIBUIDORA NISSAN S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,COMERCIO,1417995463,43132087,727617308,395842968,331774340,1339497282,48304853,725694156,423953437,301740719,NIIF PLENAS-GRUPO 1
86,890.900.291,Solla S. A.,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,MANUFACTURA,1408989391,14465450,704201926,479495671,224706255,1418609171,23459920,623415133,403811805,219603328,NIIF PLENAS-GRUPO 1
87,900.491.889,MASSER S.A.S.,SUPERSOCIEDADES,Costa Atlántica,ATLANTICO,BARRANQUILLA-ATLANTICO,COMERCIO,1404594686,-4010379,46585831,39816279,6769552,1256790774,-8621811,45748882,43518951,2229931,NIIF PLENAS-GRUPO 1
